Number,AI,Privacy Policy Link
1,ChatGPT,https://openai.com/policies/row-privacy-policy/
2,XAI (Grok),https://x.ai/legal/privacy-policy
3,Copilot,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy
4,Claude,https://docs.anthropic.com/en/docs/legal-center/privacy
5,Gemini,https://support.google.com/gemini/answer/13594961?hl=en#privacy_notice
6,Perplexity,https://www.perplexity.ai/hub/legal/privacy-policy
7,DeepSeek,https://cdn.deepseek.com/policies/en-US/deepseek-privacy-policy.html
8,Chatbot App,https://chatbotapp.ai/en/privacy
9,Sider AI,https://sider.ai/policies/privacy
10,Consensus AI,https://consensus.app/home/blog/privacy-policy/
11,Character AI,https://character.ai/privacy
12,Tabnine AI,https://www.tabnine.com/privacy-policy/
13,QuillBot,https://quillbot.com/privacy
14,Gamma AI,https://gamma.app/privacy
15,Rytr,https://rytr.me/privacy-policy/
